"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","user","health","fair","fair","comput","fair","algorithm","fair","model","algorithm"
"2","stori","algorithm","data","data","social","notion","system","algorithm","explan","model"
"3","truth","bias","model","model","behavior","data","harm","group","machin","effect"
"4","news","decis","algorithm","trust","problem","gdpr","technolog","individu","learn","use"
"5","perceiv","use","use","differ","racial","interpret","popul","learn","use","account"
"6","percept","cost","train","item","system","differ","cluster","machin","system","show"
"7","fact","data","differ","leaveoneout","can","articl","ethic","predict","data","measur"
"8","fals","care","task","unfair","categori","account","can","can","work","can"
"9","check","risk","decisionmak","individu","divers","translat","use","improv","decis","fair"
"10","content","predict","inform","use","scs","protect","develop","model","decisionmak","recommend"
