"","title","paperID","t.V1","t.V2","t.V3"
"1","Model Reconstruction from Model Explanations",0,0.488785197291886,0.510605639407086,0.00060916330102807
"2","Actionable Recourse in Linear Classification",1,0.000386062116439858,0.683677833042783,0.315936104840777
"3","Efficient Search for Diverse Coherent Explanations",2,0.000712032267538682,0.265270317473697,0.734017650258764
"4","On Human Predictions with Explanations and Predictions of Machine Learning Models: A Case Study on Deception Detection",3,0.000313091941483985,0.999373816117279,0.000313091941236679
"5","Problem Formulation and Fairness",4,0.000313091941316089,0.000313091941442291,0.999373816117242
"6","50 Years of Test (Un)fairness: Lessons for Machine Learning",5,0.99907366549335,0.000463167253510497,0.000463167253139206
"7","Fairness and Abstraction in Sociotechnical Systems",6,0.707048755264424,0.000413603766376189,0.292537640969199
"8","Clear Sanctions, Vague Rewards: How China's Social Credit System Currently Defines ""Good"" and ""Bad"" Behavior",7,0.000298964986680711,0.000298964987137474,0.999402070026182
"9","A Taxonomy of Ethical Tensions in Inferring Mental Health States from Social Media",8,0.767795618286165,0.231830759254363,0.000373622459471995
"10","Dissecting Racial Bias in an Algorithm that Guides Health Decisions for 70 Million People",9,0.000106344896343303,0.999787310207338,0.000106344896318253
"11","Disparate Interactions: An Algorithm-in-the-Loop Analysis of Fairness in Risk Assessments",10,0.00034068946576035,0.999318621068495,0.000340689465744874
"12","An Empirical Study of Rich Subgroup Fairness for Machine Learning",11,0.632246094520584,0.367444984228454,0.000308921250961395
"13","The Profiling Potential of Computer Vision and the Challenge of Computational Empiricism",12,0.81323616137242,0.186314143482451,0.000449695145128563
"14","Bias in Bios: A Case Study of Semantic Representation Bias in a High-Stakes Setting",13,0.000661273715284613,0.998677452568985,0.000661273715729849
"15","Equality of Voice: Towards Fair Representation in Crowdsourced Top-K Recommendations",14,0.999328486178948,0.000335756910371234,0.000335756910680277
"16","Analyzing Biases in Perception of Truth in News Stories and Their Implications for Fact Checking",15,0.999760390170995,0.000119804914510822,0.000119804914494662
"17","On Microtargeting Socially Divisive Ads: A Case Study of Russia-Linked Ad Campaigns on Facebook",16,0.999323589591908,0.000338205203958226,0.000338205204134045
"18","SIREN: A Simulation Framework for Understanding the Effects of Recommender Systems in Online News Environments",17,0.000364806390730948,0.00036480639032322,0.999270387218946
"19","Controlling Polarization in Personalization: An Algorithmic Framework",18,0.87481611170275,0.000409948057582476,0.124773940239668
