"","title","paperID","topic.V1","topic.V2","topic.V3","topic.V4","topic.V5","topic.V6","topic.V7","topic.V8","topic.V9","topic.V10"
"1","Model Reconstruction from Model Explanations",0,0.000208501153921603,0.00020850115392171,0.000208501153921632,0.000208501153921671,0.000208501153921594,0.000208501153921565,0.000208501153921582,0.000208501153921673,0.000208501153921702,0.998123489614705
"2","Actionable Recourse in Linear Classification",1,0.000132151761397844,0.000132151761397817,0.99881063414742,0.000132151761397801,0.000132151761397803,0.000132151761397826,0.000132151761397706,0.000132151761397768,0.000132151761397795,0.000132151761397796
"3","Efficient Search for Diverse Coherent Explanations",2,0.000243699975510265,0.000243699975510362,0.000243699975510325,0.000243699975510292,0.000243699975510327,0.00024369997551034,0.000243699975510319,0.000243699975510366,0.000243699975510289,0.997806700220407
"4","On Human Predictions with Explanations and Predictions of Machine Learning Models: A Case Study on Deception Detection",3,0.00010717687283273,0.000107176872832738,0.000107176872832729,0.000107176872832727,0.000107176872832719,0.000107176872832713,0.0001071768728327,0.999035408144506,0.000107176872832379,0.000107176872832719
"5","Problem Formulation and Fairness",4,0.000107176872832789,0.000107176872832744,0.00010717687283281,0.000107176872832783,0.000107176872832791,0.000107176872832822,0.000107176872832788,0.000107176872832815,0.999035408144505,0.000107176872832793
"6","50 Years of Test (Un)fairness: Lessons for Machine Learning",5,0.000158540210941051,0.000158540210941086,0.000158540210941074,0.998573138101531,0.000158540210941069,0.000158540210941068,0.000158540210941026,0.00015854021094103,0.000158540210940982,0.000158540210941058
"7","Fairness and Abstraction in Sociotechnical Systems",6,0.000141577808814228,0.000141577808814231,0.000141577808814263,0.000141577808814293,0.998725799720672,0.000141577808814253,0.000141577808814271,0.000141577808814301,0.000141577808814211,0.000141577808814234
"8","Clear Sanctions, Vague Rewards: How China's Social Credit System Currently Defines ""Good"" and ""Bad"" Behavior",7,0.00010234158054705,0.000102341580547031,0.000102341580547044,0.000102341580547098,0.999078925775077,0.000102341580547024,0.000102341580547005,0.000102341580547065,0.000102341580546968,0.00010234158054705
"9","A Taxonomy of Ethical Tensions in Inferring Mental Health States from Social Media",8,0.000127894253433661,0.000127894253433616,0.000127894253433658,0.000127894253433705,0.000127894253433688,0.000127894253433642,0.000127894253433644,0.000127894253433765,0.998848951719097,0.000127894253433642
"10","Dissecting Racial Bias in an Algorithm that Guides Health Decisions for 70 Million People",9,3.64069148610709e-05,0.99967233776625,3.6406914861069e-05,3.64069148611174e-05,3.64069148611354e-05,3.64069148611123e-05,3.64069148610971e-05,3.64069148610302e-05,3.6406914861048e-05,3.64069148610698e-05
